FamilyMembers,FanHoursPerDay,RefrigeratorHoursPerDay,AirConditionerHoursPerDay,TelevisionHoursPerDay,MonitorHoursPerDay,WashingMachineHoursPerWeek,LightingHoursPerDay,City,Month,TariffRateINRPerKWh,MonthlyConsumptionKWh,ElectricityBillINR
2,7.3,17.3,2.6,3.6,5.0,4.3,8.6,Pune,11,8.1,285.8,2315.09
1,9.1,16.6,2.2,6.6,4.0,4.7,10.8,Hyderabad,10,7.9,276.9,2187.83
3,5.6,21.1,12.0,2.7,0.9,1.1,3.5,Delhi,7,7.6,715.9,5440.47
5,10.2,17.6,4.8,4.3,2.9,2.9,3.7,Ahmedabad,12,7.6,397.8,3022.95
2,3.1,18.1,1.0,5.7,0.5,2.6,5.0,Kolkata,9,7.8,214.6,1673.53
3,6.0,23.0,1.5,4.4,0.9,1.7,6.3,Kolkata,7,7.9,255.3,2017.01
4,6.2,22.0,0.7,2.5,5.2,1.9,4.7,Mumbai,1,8.6,220.1,1892.76
1,7.4,18.9,3.7,0.9,4.7,3.9,7.8,Delhi,1,7.7,326.5,2514.01
3,2.1,15.1,2.9,5.9,6.6,1.9,5.4,Mumbai,9,8.8,289.9,2550.69
3,10.4,17.8,2.4,1.4,4.8,2.8,4.6,Hyderabad,11,8.3,272.7,2263.69
5,8.0,24.0,0.9,2.7,2.7,3.7,3.9,Mumbai,9,8.6,237.3,2041.02
3,9.8,22.9,2.1,3.6,1.0,5.6,6.1,Delhi,4,7.7,333.0,2563.85
5,11.0,24.0,2.9,6.0,5.8,3.4,6.9,Pune,9,7.8,384.0,2995.59
1,5.1,20.8,2.9,5.5,4.3,4.1,7.8,Ahmedabad,3,7.7,303.7,2338.43
1,1.0,18.9,4.9,3.8,4.6,3.4,5.2,Kolkata,7,7.5,385.1,2888.18
4,9.9,22.7,0.7,5.9,4.1,2.7,6.9,Hyderabad,6,8.2,243.9,1999.86
5,6.3,23.8,5.5,6.4,5.4,2.7,9.2,Kolkata,8,7.7,453.7,3493.25
5,4.2,18.6,1.7,2.5,0.0,2.8,8.5,Bengaluru,11,7.9,267.5,2113.07
2,8.4,17.9,3.8,2.7,0.6,0.0,5.2,Ahmedabad,9,7.8,319.1,2488.93
2,13.2,15.4,11.2,5.0,1.3,2.5,7.4,Lucknow,5,7.2,715.1,5148.57
4,6.7,17.8,2.7,6.9,3.7,3.7,5.6,Mumbai,1,8.6,297.0,2553.87
1,9.4,22.0,7.9,2.1,2.1,1.9,5.1,Chennai,3,8.5,555.1,4718.48
6,4.5,18.2,12.0,0.0,5.3,5.2,4.1,Delhi,10,7.7,755.3,5815.44
2,2.8,22.8,3.1,4.8,3.0,3.2,9.5,Kolkata,12,7.8,313.0,2441.76
3,9.3,24.0,11.5,6.2,7.6,2.8,4.6,Mumbai,8,8.6,726.1,6244.35
1,8.4,20.1,1.5,3.8,6.4,4.3,5.7,Hyderabad,11,7.9,251.2,1984.47
6,5.8,20.0,5.3,8.8,3.3,3.8,2.2,Kolkata,6,7.8,469.2,3659.82
3,11.3,21.6,2.4,1.8,0.3,4.7,8.2,Lucknow,8,7.0,319.4,2235.49
5,2.6,18.3,3.2,2.0,4.4,5.0,5.9,Ahmedabad,9,7.6,310.6,2360.84
1,3.9,18.1,3.3,2.0,0.8,5.2,8.4,Ahmedabad,4,7.7,297.5,2290.86
4,5.6,18.1,0.4,3.7,1.1,3.7,6.7,Kolkata,1,7.7,191.1,1471.64
5,6.1,16.6,3.7,3.7,2.2,1.4,6.3,Hyderabad,1,7.9,308.4,2436.67
5,10.7,22.7,1.9,2.0,2.2,2.6,7.7,Ahmedabad,10,7.8,303.0,2363.75
3,7.1,18.5,7.7,5.7,4.1,5.5,6.0,Ahmedabad,4,7.4,512.4,3791.47
5,6.5,23.3,7.1,4.0,3.7,3.4,2.3,Lucknow,12,7.2,516.6,3719.44
2,3.8,21.6,1.5,1.4,1.0,2.3,6.5,Delhi,7,7.7,243.1,1871.81
1,9.7,19.9,0.9,4.7,2.4,2.2,8.2,Hyderabad,2,7.9,223.4,1764.64
2,4.2,22.4,1.5,2.7,0.3,1.4,4.3,Hyderabad,3,7.9,226.0,1785.57
3,3.8,17.2,1.2,3.7,3.8,4.4,2.0,Pune,1,8.2,201.4,1651.47
6,6.0,17.7,2.3,5.3,0.0,2.3,4.6,Pune,5,8.1,275.0,2227.15
3,7.4,22.1,2.7,5.5,2.5,1.5,6.7,Ahmedabad,1,7.7,307.7,2369.25
1,5.2,13.4,5.4,5.3,1.7,1.7,3.6,Chennai,8,8.3,416.5,3456.82
5,8.8,20.0,7.7,3.6,4.1,0.0,5.8,Pune,1,8.2,511.8,4196.77
4,6.3,21.8,6.1,1.6,1.4,4.1,6.8,Ahmedabad,11,7.4,446.9,3307.41
3,9.6,23.9,10.3,2.9,1.3,2.6,4.2,Jaipur,1,7.4,625.0,4625.07
1,8.3,24.0,1.0,3.5,3.8,1.2,8.6,Bengaluru,2,8.1,235.2,1905.05
4,11.5,19.6,2.8,6.6,3.9,5.1,7.4,Bengaluru,2,7.7,342.8,2639.4
5,5.9,22.3,1.5,2.4,0.9,3.1,4.0,Hyderabad,12,8.2,238.7,1957.19
6,9.1,17.6,8.0,3.9,4.2,0.0,7.4,Chennai,6,8.4,550.2,4621.27
3,2.5,18.7,3.5,1.0,7.9,4.1,4.3,Lucknow,7,7.0,306.1,2142.43
6,14.0,24.0,2.1,4.2,2.1,1.5,5.0,Delhi,5,7.6,327.2,2486.73
1,9.0,19.9,5.4,3.4,0.5,3.9,6.1,Pune,1,8.1,402.8,3262.76
6,6.3,20.5,5.8,3.2,3.1,3.8,7.6,Jaipur,1,7.2,450.2,3241.77
6,6.4,16.9,2.4,5.2,0.2,3.2,5.9,Ahmedabad,3,7.7,299.0,2302.2
1,6.4,21.3,4.7,2.1,2.5,1.1,6.8,Chennai,2,8.1,368.2,2982.36
1,11.6,22.3,4.2,6.3,2.0,1.2,8.9,Hyderabad,5,8.3,393.2,3263.35
3,9.2,22.2,2.4,2.0,4.4,2.9,6.5,Pune,12,8.0,307.5,2460.06
6,5.9,16.4,2.4,6.2,0.0,1.6,4.7,Chennai,10,8.5,291.0,2473.74
4,3.9,23.0,2.4,0.3,0.0,4.8,7.4,Pune,6,7.8,291.2,2271.74
1,10.0,17.0,3.5,4.1,3.8,2.8,4.9,Delhi,7,7.5,319.5,2396.15
5,9.1,19.9,3.8,4.7,4.1,1.5,5.4,Delhi,4,7.7,353.8,2724.46
6,8.8,15.1,4.4,2.8,0.0,4.5,7.1,Lucknow,7,7.0,373.1,2611.74
1,6.8,19.5,0.2,4.1,6.0,0.1,7.2,Bengaluru,11,7.7,175.3,1350.1
4,6.3,17.0,4.6,2.8,4.8,2.8,5.6,Mumbai,8,9.0,381.4,3432.99
3,11.2,18.7,0.1,4.4,1.7,3.8,5.4,Mumbai,11,8.6,185.6,1596.25
6,11.4,20.2,4.5,4.0,3.2,1.5,9.7,Pune,1,7.8,387.5,3022.43
1,8.6,22.5,4.3,7.9,0.0,2.4,2.0,Lucknow,6,7.4,356.5,2638.09
1,9.4,22.4,0.4,0.7,4.4,2.0,6.7,Mumbai,8,8.6,196.9,1693.0
5,7.6,13.0,4.2,3.9,1.3,1.3,6.0,Hyderabad,5,8.3,335.8,2787.37
5,3.6,22.0,6.4,2.7,2.3,3.1,5.2,Mumbai,4,8.8,488.9,4302.66
6,4.6,20.6,3.1,3.7,2.8,4.3,6.6,Kolkata,2,7.8,316.8,2470.66
1,9.9,18.3,3.8,3.2,5.4,6.0,4.0,Ahmedabad,6,7.4,359.9,2663.12
6,10.2,17.4,2.9,2.8,3.9,4.1,3.4,Lucknow,6,7.2,323.9,2331.79
1,9.6,19.8,3.6,2.5,2.3,2.6,8.1,Hyderabad,11,8.1,315.8,2557.86
5,7.9,20.7,4.2,4.9,1.8,4.7,4.7,Chennai,1,8.1,378.7,3067.33
4,9.7,21.1,2.6,2.8,3.5,1.3,5.8,Hyderabad,9,8.3,324.8,2696.12
2,6.9,19.4,2.9,3.5,2.8,2.2,2.0,Bengaluru,12,7.7,296.6,2283.52
2,8.6,12.4,1.4,3.9,2.5,4.4,2.5,Chennai,11,8.5,201.4,1711.48
1,6.5,18.5,7.4,2.1,3.0,2.0,6.5,Jaipur,6,7.2,510.0,3671.85
5,4.4,16.4,1.4,4.7,2.5,3.1,8.2,Ahmedabad,3,7.6,229.7,1745.74
3,9.2,24.0,4.9,1.6,0.0,1.9,4.6,Ahmedabad,4,7.4,399.4,2955.71
3,10.2,20.2,2.9,4.5,2.9,2.7,9.3,Ahmedabad,12,7.4,325.0,2405.14
2,13.2,22.2,1.5,4.3,3.0,2.9,8.6,Ahmedabad,11,7.7,287.9,2217.13
4,7.7,21.9,8.5,3.2,3.3,3.7,7.8,Pune,4,8.0,556.7,4453.37
2,4.4,20.9,0.5,1.3,1.0,3.2,8.2,Ahmedabad,3,7.4,193.0,1428.16
1,6.2,18.8,2.4,3.5,1.4,4.1,8.6,Ahmedabad,10,7.6,267.6,2033.9
4,6.7,18.4,3.2,1.4,6.3,3.6,5.0,Ahmedabad,3,7.8,338.0,2636.03
3,7.4,13.9,8.5,3.3,1.5,2.7,5.1,Lucknow,3,7.0,544.4,3810.47
5,8.2,20.4,6.3,5.1,4.0,2.1,7.4,Pune,4,7.8,478.0,3728.36
5,7.9,20.9,0.8,3.5,1.4,1.6,3.5,Delhi,7,7.5,222.3,1667.34
1,8.9,19.9,0.8,6.0,0.0,0.0,6.7,Hyderabad,4,8.1,200.2,1621.67
